序號,縣市,統一編號,營業人名稱,營業人地址,稽徵機關,開始適用日期,停止適用日期,營業狀況,接受行動支付工具,行業代號,行業代號名稱,行業代號1,行業代號名稱1,行業代號2,行業代號名稱2,行業代號3,行業代號名稱3,資料集日期
000001,高雄市,00177506,教堂街頭服飾店,高雄市三民區博愛里建國二路１６８號１樓,三民分局,1081230,,營業中,台灣Pay,473299,其他服裝及其配件零售,,,,,,,20211026
000002,高雄市,00239778,崔記茶餐廳,高雄市前鎮區興東里二聖二路６７號,前鎮稽徵所,1090605,,營業中,台灣Pay,561115,餐館、餐廳,,,,,,,20211026
000003,高雄市,00259605,佳亭國際髮型店,高雄市新興區文化路６４之３號１至３樓,新興稽徵所,1081007,,非營業中,台灣Pay,962111,美髮院及髮廊,,,,,,,20211026
000004,高雄市,00349705,品悅美食店,高雄市大社區大社里中山路２８２－２號,鳳山分局,1090926,,營業中,台灣Pay,561113,麵店、小吃店,,,,,,,20211026
000005,高雄市,00390801,三好小吃店,高雄市楠梓區藍田里藍昌路３６９號,楠梓稽徵所,1090824,,營業中,感應付款-信用卡或金融卡,561112,便當、自助餐店,,,,,,,20211026
000006,高雄市,00652620,岏酷企業社,高雄市岡山區岡山里１８鄰文化街２１號２樓,岡山稽徵所,1081227,,營業中,台灣Pay,620900,其他電腦相關服務,740912,商業設計,,,,,20211026
000007,高雄市,00870225,上鼎藥師健保藥局,高雄市大社區翠屏里中山路４２３號,鳳山分局,1080919,,營業中,台灣Pay,475112,西藥零售,475111,中藥零售,,,,,20211026
000008,高雄市,00871131,吳家紅茶冰,高雄市鳳山區忠義里光復路１段１２５號１樓,鳳山分局,1081107,,營業中,台灣Pay,563200,調理飲料攤販,,,,,,,20211026
000009,基隆市,00927233,宏仁藥局,基隆市安樂區七賢里安樂路２段１３０號,基隆分局,1070627,,營業中,台灣Pay,475112,西藥零售,,,,,,,20211026
000010,基隆市,00946652,凍頂鳳隆興茶莊,基隆市中正區正砂里中正路３４８號,信義稽徵所,1081217,,營業中,台灣Pay,472915,茶葉零售,,,,,,,20211026
000011,臺北市,01067844,西寧市場第１０８１號攤位,臺北市萬華區福星里西寧南路４號１樓,萬華稽徵所,1071204,,營業中,台灣Pay,472927,豆類製品零售,472914,飲料零售,472919,肉鬆、肉乾、火腿、臘味零售,472999,未分類其他食品、飲料及菸草製品零售,20211026
