1,¨ä¥LªA¸Ë¤Î¨ä°t¥ó¹s°â,±Ð°óµóÀYªA¹¢©±,°ª¶¯¥«¤T¥Á°Ï³Õ·R¨½«Ø°ê¤G¸ô¢°¢µ¢·¸¹¢°¼Ó,¥xÆWPay
2,À\À]¡BÀ\ÆU,±Z°O¯ùÀ\ÆU,°ª¶¯¥««eÂí°Ï¿³ªF¨½¤G¸t¤G¸ô¢µ¢¶¸¹,¥xÆWPay
3,¬ü¾v°|¤Î¾v´Y,¨Î«F°ê»Ú¾v«¬©±,°ª¶¯¥«·s¿³°Ï¤å¤Æ¸ô¢µ¢³¤§¢²¸¹¢°¦Ü¢²¼Ó,¥xÆWPay
4,ÄÑ©±¡B¤p¦Y©±,«~®®¬ü­¹©±,°ª¶¯¥«¤jªÀ°Ï¤jªÀ¨½¤¤¤s¸ô¢±¢·¢±¡Ð¢±¸¹,¥xÆWPay
5,«K·í¡B¦Û§UÀ\©±,¤T¦n¤p¦Y©±,°ª¶¯¥«·£±ê°ÏÂÅ¥Ð¨½ÂÅ©÷¸ô¢²¢µ¢¸¸¹,·PÀ³¥I´Ú-«H¥Î¥d©Îª÷¿Ä¥d
6,¨ä¥L¹q¸£¬ÛÃöªA°È,ÊÁ»Å¥ø·~ªÀ,°ª¶¯¥«©£¤s°Ï©£¤s¨½¢°¢·¾F¤å¤Æµó¢±¢°¸¹¢±¼Ó,¥xÆWPay
7,¦èÃÄ¹s°â,¤W¹©ÃÄ®v°·«OÃÄ§½,°ª¶¯¥«¤jªÀ°Ï»A«Ì¨½¤¤¤s¸ô¢³¢±¢²¸¹,¥xÆWPay
8,½Õ²z¶¼®ÆÅu³c,§d®a¬õ¯ù¦B,°ª¶¯¥«»ñ¤s°Ï©¾¸q¨½¥ú´_¸ô¢°¬q¢°¢±¢´¸¹¢°¼Ó,¥xÆWPay
9,¦èÃÄ¹s°â,§»¤¯ÃÄ§½,°ò¶©¥«¦w¼Ö°Ï¤C½å¨½¦w¼Ö¸ô¢±¬q¢°¢²¢¯¸¹,¥xÆWPay
10,¯ù¸­¹s°â,­á³»»ñ¶©¿³¯ù²ø,°ò¶©¥«¤¤¥¿°Ï¥¿¬â¨½¤¤¥¿¸ô¢²¢³¢·¸¹,¥xÆWPay
11,¨§Ãþ»s«~¹s°â,¦è¹ç¥«³õ²Ä¢°¢¯¢·¢°¸¹Åu¦ì,»O¥_¥«¸UµØ°ÏºÖ¬P¨½¦è¹ç«n¸ô¢³¸¹¢°¼Ó,¥xÆWPay
12,¬ü¾v°|¤Î¾v´Y,·¨ÄRÄ_¬ü®e°|,»O¥_¥«¤¤¥¿°Ï¾¤©ú¨½º~¤fµó¢°¬q¢°¢·¸¹¢±¼Ó,¥xÆWPay
13,¦­À\©±,¬õÄ«ªG­¹«~©±,»O¥_¥«¤¤¥¿°ÏªC¦{«n¸ô¢°¬q¢°¢¯¤§¢²¸¹¢°¼Ó,¥xÆWPay
14,¬ü¾v°|¤Î¾v´Y,¤¦ÄR³y«¬³]­p¦W©±,»O¥_¥«¸UµØ°Ï¦èªù¨½¦¨³£¸ô¢´¢³¡Ð¢°¸¹¢±¼Ó,¥xÆWPay
15,¾÷¨®¹s¥ó¡B¾÷¨®¦Ê³f¹s°â,¥Ã¬P¨®·~°Ó¦æ,»O¥_¥«¤j¦P°Ï¥ÁÅv¨½ÀA¦èµó¢³¢¶¸¹¢°¼Ó,¥xÆWPay
